issuer_slug,ticker,name,sector,active,listed_from,listed_to,source_state,source_keys,source_kinds,source_urls,coverage_from_periods,live_verified_periods,live_verified_ons,live_verified_urls,known_period_count,latest_known_period,in_source_window_period_count,latest_in_source_window_period,readiness_gaps
gfnorte,GFNORTE,Grupo Financiero Banorte,banks,True,,,configured_with_in_window_catalog_coverage,ir,investor_relations,https://investors.banorte.com/es/financial-information/quarterly-reports,,2026-2T,2026-07-30,https://investors.banorte.com/~/media/Files/B/Banorte-IR/financial-information/quarterly-results/es/2026/2T26/2T26.pdf,21,2026-1T,21,2026-1T,listing_start_unverified
banco_del_bajio,BBAJIO,Banco del Bajío,banks,True,,,configured_with_in_window_catalog_coverage,ir,investor_relations,https://www.bb.com.mx/webcenter/portal/BanBajio/home/inversionistas/informacion-financiera,,,,,15,2025-3T,15,2025-3T,listing_start_unverified|primary_pdf_source_live_verification_unrecorded
regional,R,Regional,banks,True,,,configured_with_in_window_catalog_coverage,ir,investor_relations,https://www.regional.mx/,,,,,33,2026-2T,33,2026-2T,listing_start_unverified|primary_pdf_source_live_verification_unrecorded
gfinbursa,GFINBUR,GFInbursa,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
gentera,GENTERA,Gentera,banks,True,,,configured_with_in_window_catalog_coverage,ir,investor_relations,https://www.gentera.com.mx/gentera/relacion-inversionistas/informacion_trimestral,,,,,42,2026-2T,42,2026-2T,listing_start_unverified|primary_pdf_source_live_verification_unrecorded
gf_multiva,GFMULTI,GF Multiva,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
financiera_independencia,FINDEP,Financiera Independencia,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
invex,INVEX,Invex,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
alterna,ALTERNA,Alterna,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
banco_santander_mexico,BSMX,Banco Santander Mexico,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
unifin,UNIFIN,Unifin,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
bbva_mexico,BBVA,BBVA Mexico,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
monex,MONEX,Monex,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
credito_real,CREAL,Credito Real,banks,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
gbm,GBM,GBM,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
actinver,ACTINVR,Actinver,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
value_gf,VALUEGF,Value GF,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
finamex,FINAMEX,Finamex,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
bolsa_mexicana,BOLSA,Bolsa Mexicana,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
procorp,PROCORP,Procorp,brokers_exchange,True,,,unconfigured_without_coverage,,,,,,,,0,,0,,listing_start_unverified|primary_pdf_source_unconfigured
qualitas,Q,Quálitas,insurers_afores,True,,,configured_with_in_window_catalog_coverage,ir,investor_relations,https://qinversionistas.qualitas.com.mx/ES/reportes-trimestrales,,,,,15,2025-3T,15,2025-3T,listing_start_unverified|primary_pdf_source_live_verification_unrecorded
