slug,period
ac,2021-2T
ac,2021-3T
ac,2021-4T
ac,2022-1T
ac,2022-2T
ac,2022-3T
ac,2022-4T
ac,2023-1T
ac,2023-2T
ac,2023-3T
ac,2023-4T
ac,2024-1T
ac,2024-2T
ac,2024-3T
ac,2024-4T
ac,2025-1T
ac,2025-2T
ac,2025-3T
ac,2025-4T
ac,2026-1T
accel,2021-2T
accel,2021-3T
accel,2021-4T
accel,2022-1T
accel,2022-2T
accel,2022-3T
accel,2022-4T
accel,2023-1T
accel,2023-2T
accel,2023-3T
accel,2023-4T
accel,2024-1T
accel,2024-2T
accel,2024-3T
accel,2024-4T
accel,2025-1T
accel,2025-2T
accel,2025-3T
accel,2025-4T
accel,2026-1T
aeromexico,2025-3T
aeromexico,2025-4T
aeromexico,2026-1T
aeromexico,2026-2T
aleatica_educa,2021-2T
aleatica_educa,2021-3T
aleatica_educa,2021-4T
aleatica_educa,2022-1T
aleatica_educa,2022-2T
aleatica_educa,2022-3T
aleatica_educa,2022-4T
aleatica_educa,2023-1T
aleatica_educa,2023-2T
aleatica_educa,2023-3T
aleatica_educa,2023-4T
aleatica_educa,2024-1T
aleatica_educa,2024-2T
aleatica_educa,2024-3T
aleatica_educa,2024-4T
aleatica_educa,2025-1T
aleatica_educa,2025-2T
aleatica_educa,2025-3T
aleatica_educa,2025-4T
aleatica_educa,2026-1T
alpek,2021-2T
alpek,2021-3T
alpek,2021-4T
alpek,2022-1T
alpek,2022-2T
alpek,2022-3T
alpek,2022-4T
alpek,2023-1T
alpek,2023-2T
alpek,2023-3T
alpek,2023-4T
alpek,2024-1T
alpek,2024-2T
alpek,2024-3T
alpek,2024-4T
alpek,2025-1T
alpek,2025-2T
alpek,2025-3T
alpek,2025-4T
alpek,2026-1T
alsea,2021-2T
alsea,2021-3T
alsea,2021-4T
alsea,2022-1T
alsea,2022-2T
alsea,2022-3T
alsea,2022-4T
alsea,2023-1T
alsea,2023-2T
alsea,2023-3T
alsea,2023-4T
alsea,2024-1T
alsea,2024-2T
alsea,2024-3T
alsea,2024-4T
alsea,2025-1T
alsea,2025-2T
alsea,2025-3T
alsea,2025-4T
alsea,2026-1T
alterna,2021-2T
alterna,2021-3T
alterna,2021-4T
alterna,2022-1T
alterna,2022-2T
alterna,2022-3T
alterna,2022-4T
alterna,2023-1T
alterna,2023-2T
alterna,2023-3T
alterna,2023-4T
alterna,2024-1T
alterna,2024-2T
alterna,2024-3T
alterna,2024-4T
alterna,2025-1T
alterna,2025-2T
alterna,2025-3T
alterna,2025-4T
alterna,2026-1T
america_movil,2021-2T
america_movil,2021-3T
america_movil,2021-4T
america_movil,2022-1T
america_movil,2022-2T
america_movil,2022-3T
america_movil,2022-4T
america_movil,2023-1T
america_movil,2023-2T
america_movil,2023-3T
america_movil,2023-4T
america_movil,2024-1T
america_movil,2024-2T
america_movil,2024-3T
america_movil,2024-4T
america_movil,2025-1T
america_movil,2025-2T
america_movil,2025-3T
